"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"RBA55IG3","book","1990","Kossatz, Anne Ulrike; Kossatz, Anne Ulrike","Funde aus Milet 1. Die Megarischen Becher","","","","","","","1990","2021-10-26 13:40:49","2022-12-15 17:35:39","","","","","","","","","Milet. Ergebnisse der Ausgrabungen und Untersuchungen seit dem Jahr 1899","5,1","","","De Gruyter","Berlin","","","","Literatursammlung Miletserver","","","","Citation Key: kossatz_FundeAusMilet_1990","","","","Keramik; Megarische Becher; 03 Funde aus Milet; 03-05 Funde: Keramik; 03-05-06 Keramik: hellenistische Zeit","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BJAR5GSS","book","1914","Kawerau, Georg; Rehm, Albert","Das Delphinion in Milet","","","","","https://doi.org/10.11588/diglit.1017","","1914","2021-10-26 13:40:49","2023-01-27 11:30:20","","","","","","","","","Milet. Ergebnisse der Ausgrabungen und Untersuchungen seit dem Jahr 1899","1,3","","","","Berlin","","","","Literatursammlung Miletserver","","","","Citation Key: kawerau_DelphinionMilet_1914","","","","Heiligtum; Grabmonumente; Apollon; Apollon Delphinios; Delphinion; Gylloi; Opferkalender; 07 Architektur; 08 Kulte und Kulteinrichtungen; 08-02 Kulte: Apollon Delphinios; 07-04 Architektur: Delphinion","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"U8G77PR8","book","2006","Herrmann, Peter; Ehrhardt, Norbert; Günther, Wolfgang","Inschriften von Milet Teil 3. Inschriften n. 1020–1580","","","","","","","2006","2021-10-26 13:40:49","2022-12-15 17:43:23","","","","","","","","","Milet. Ergebnisse der Ausgrabungen und Untersuchungen seit dem Jahr 1899","6,3","","","De Gruyter","Berlin/New York","","","","Literatursammlung Miletserver","","","","Citation Key: herrmann_InschriftenMiletTeil_2006","","","","Gylloi; Opferkalender; 03 Funde aus Milet; 03-08 Funde: Inschriften","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PCP62MM6","book","1998","Herrmann, Peter","Inschriften von Milet Teil 2. Inschriften n. 407–1019","","","","","","","1998","2021-10-26 13:40:49","2022-12-15 17:35:08","","","","","","","","","Milet. Ergebnisse der Ausgrabungen und Untersuchungen seit dem Jahr 1899","6,2","","","De Gruyter","Berlin/New York","","","","Literatursammlung Miletserver","","","","Citation Key: herrmann_InschriftenMiletTeil_1998","","","","03 Funde aus Milet; 03-08 Funde: Inschriften","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AD3Z67AM","book","1924","Knackfuß, Hubert","Der Südmarkt und die benachbarten Bauanlagen","","","","","","","1924","2021-10-26 13:40:49","2022-12-15 17:37:00","","","","","","","","","Milet. Ergebnisse der Ausgrabungen und Untersuchungen seit dem Jahr 1899","1,7","","","von Schoetz und Parrhysius","Berlin","","","","Literatursammlung Miletserver","","","","Citation Key: knackfuss_SudmarktUndBenachbarten_1924","","","","Agora; 07 Architektur; 07-05 Architektur: Platzanlagen und angrenzende Bauten","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"UFGM4WKR","book","1908","Knackfuß, Hubert","Das Rathaus von Milet","","","","","https://doi.org/10.11588/diglit.45333","","1908","2021-10-26 13:40:49","2023-01-27 11:28:26","","","","","","","","","Milet. Ergebnisse der Ausgrabungen und Untersuchungen seit dem Jahr 1899","1,2","","","Verlag Georg Reimer","Berlin","","","","","","","","Citation Key: knackfuss_RathausMilet_1908","","","","Heiligtum; Apollon; Apollon Delphinios; Architektur; Delphinion; 07 Architektur; 07-06 Architektur: Bouleuterion","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GGNIZ977","book","1919","Hülsen, Julius","Das Nymphaeum von Milet","","","","","https://doi.org/10.11588/diglit.3617","","1919","2021-10-26 13:40:49","2023-01-27 11:30:32","","","","","","","","","Milet. Ergebnisse der Ausgrabungen und Untersuchungen seit dem Jahr 1899","1,5","","","","Berlin","","","","Literatursammlung Miletserver","","","","Citation Key: hulsen_NymphaeumMilet_1919","","","","Architektur; Wasser; Wasserversorgung; 07 Architektur; 07-01 Architektur: Varia; 07-10 Architektur: Wasserversorgung","","Wiegand, Theodor","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"34TAMQEU","book","1968","Bendt, Walter","Topographische Karte von Milet (1 : 2000)","","","","","","","1968","2021-10-26 13:40:12","2022-12-15 17:41:39","","","","","","","","","Milet. Ergebnisse der Ausgrabungen und Untersuchungen seit dem Jahr 1899","2,4","","","De Gruyter","Berlin","","","","Literatursammlung Miletserver","","","","Citation Key: bendt_TopographischeKarteMilet_1968","","","","02 Allgemeine Darstellungen / Topographie","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"357WGSFE","book","2004","Köster, Reinhard","Die Bauornamentik von Milet Teil 1: Die Bauornamentik der frühen und mittleren Kaiserzeit","","","","","","","2004","2021-10-26 13:41:34","2022-12-15 17:34:36","","","","","","","","","Milet. Ergebnisse der Ausgrabungen und Untersuchungen seit dem Jahr 1899","7,1","","","De Gruyter","Berlin/New York","","","","","","","","Citation Key: koster_BauornamentikMiletTeil_2004","","","","Römisch; Kaiserzeit; Architektur; Bauforschung; 03 Funde aus Milet; 03-03 Funde: Bauteile, Bauornamentik","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SPSE47P6","book","1973","Krauss, Friedrich","Das Theater von Milet Teil 1. Das hellenistische Theater. Der römische Zuschauerbau","","","","","","","1973","2021-10-26 13:41:34","2022-12-15 17:36:34","","","","","","","","","Milet. Ergebnisse der Ausgrabungen und Untersuchungen seit dem Jahr 1899","4,1","","","De Gruyter","Berlin","","","","Literatursammlung Miletserver","","","","Citation Key: krauss_TheaterMiletTeil_1973","","","","Römisch; Hellenistisch; Theater; 07 Architektur; 07-03 Architektur: Theater","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
