Gruppe;Untergruppe_1;Untergruppe_2;DE;EN;TR
01;;;Grabungs- und Arbeitsberichte;Reports;Kazı ve çalışma raporları
;;;;;
02;;;Allgemeine Darstellungen / Topographie;General Overviews / Topography;Genel gösterimler / Topoğrafya
02;01;;Topographie: Prähistorisch;Topography: Prehistoric;Topografya: Tarih öncesi
02;02;;Topographie: Bronzezeit;Topography: Bronze Age;Topoğrafya: Tunç Çağı
02;03;;Topographie: geometrische Zeit;Topography: geometric period;Topoğrafya: Geometrik dönem
02;04;;Topographie: archaische Zeit;Topography: archaic period;Topoğrafya: Arkaik dönem
02;05;;Topographie: klassische Zeit;Topography: classical period;Topoğrafya: Klasik Dönem
02;06;;Topographie: hellenistische Zeit;Topography: Hellenistic period;Topoğrafya: Helenistik Dönem
02;07;;Topographie: Kaiserzeit;Topography: imperial period;Topoğrafya: İmparatorluk Dönemi
02;08;;Topographie: Spät- und Nachantike;Topography: late and postantique periods;Topoğrafya: Geç Antik Dönem ve Antik Dönem Sonrası
02;09;;Topographie: Mittelalter / Balat;Topography: Medieval / Balat;Topoğrafya: Orta Çağ / Balat
;;;;;
03;;;Funde aus Milet; Finds from Miletus;Milet'ten Buluntular
03;01;;Funde: Gattungsübergreifend;Finds: Multiple Categories;Buluntular: Türler arası
03;02;;Funde: Varia;Finds: Varia;Buluntular: Varia
03;03;;Funde: Bauteile, Bauornamentik;Finds: Architectural Objects;Buluntular: Yapı bileşenleri, yapı süslemeleri
03;04;;Funde: Skulptur;Finds: Sculpture;Buluntular: Heykel
03;05;;Funde: Keramik;Finds: Pottery;Buluntular: Seramikler
03;05;01;Keramik: Prähistorisch;Pottery: Prehistoric;Seramik: Tarih Öncesi
03;05;02;Keramik: Bronzezeit;Pottery: Bronze Age;Seramik: Tunç Çağı
03;05;03;Keramik: geometrische Zeit;Pottery: geometric period;Seramik: Geometrik dönem
03;05;04;Keramik: archaische Zeit;Pottery: archaic period;Seramik: Arkaik dönem
03;05;05;Keramik: klassische Zeit;Pottery: classical period;Seramik: Klasik dönem
03;05;06;Keramik: hellenistische Zeit;Pottery: Hellenistic period;Seramik: Hellenistik dönem
03;05;07;Keramik: Kaiserzeit;Pottery: Imperial period;Seramik: İmparatorluk Dönemi
03;05;08;Keramik: Spät- und Nachantike;Pottery: late and postantique periods;Seramik: Geç Antik Dönem ve Antik Dönem Sonrası
03;05;09;Keramik: Mittelalter;Pottery: Medieval;Seramik: Orta Çağ
03;06;;Funde: Terrakotta;Finds: Terracotta;Buluntular: Pişmiş Toprak (Figürinler)
03;07;;Funde: Metalle;Finds: Metals;Buluntular: Metaller
03;08;;Funde: Inschriften;Finds: Inscriptions;Buluntular: Yazıtlar
