"","Key","Author","Publication.Year","Title","tex_key"
"1","XHSKUYPB","Feraru, Remus Mihai",2022,"Fêtes consacrées à Apollon à Milet et dans les colonies milésiennes du Pont-Euxin","feraruFetesConsacreesApollon2022"
"2","TPDGG6BQ","Vidin, Hülya",2021,"The loyalty of a city to its deity. Miletus and Apollon","vidinLoyaltyCityIts2021"
"3","LLHFLV4D","Roch, Julius",2023,"Die kaiserzeitliche Münzprägung Milets: Fallstudie zur Entwicklung der Repräsentation, Perzeption und Integration der römischen Autorität im kollektiven Selbstverständnis der Städte Kleinasiens","rochKaiserzeitlicheMunzpragungMilets2023"
"4","S8DBH4DH","Webb, Virginia",2025,"Finds from Miletus XXXIII. Scarabs in Faience and Steatite from the Bothros, Sanctaury of Aphrodite on Zeytintepe (>Olive Hill<)","webbFindsMiletusXXXIII2025"
"5","VZJH4JK4","Bruns-Özgan, Christine",2025,"Basis für eine Staue des Pompeius in Milet","bruns-ozganBasisFurStaue2025"
"6","YTGAQ849","Berns, Christof; Zurbach, Julien",NA,"Miletus","MISSING"
"8","3FGYFJG2","Berns, Christof; Özgan, Christine; Zurbach, Julien",2023,"Milet 2021 Yılı Çalışmaları","bernsMilet2021Yili2022"
"9","SML6K7S4","Berns, Christof; Zurbach, Julien; Özgan, Christine",2025,"Milet 2023 Yılı Çalışmaları","bernsMilet2023Yili2025"
"10","8UIIMAFS","Berns, Christof; Zurbach, Julien; Özgan, Christine",2024,"Milet 2022 Yılı Çalışmaları","bernsMilet2022Yili2024"
"11","DYGRKLUK","Senff, Reinhard",2024,"Miletus - The Ionian Metropolis in the Archaic Period","senffMiletusIonianMetropolis2024"
"12","D3RJNY9Q","Maillot, Stéphanie; Zurbach, Julien",2025,"Le travail en ville en Grèce antique, ou la cité grecque face à la ville et au travail (VIe-Ier s. av. J.-C.)","maillotTravailVilleGrece2025"
"13","LEYDGJP4","Kouka, Ourania",2019,"Local and Imported in Action: Western Anatolian and Cycladic Figurines in Early Bronce Age Miletus","koukaLocalImportedAction2019"
"15","IYCF8R6W","Casa, Giacomo",2025,"The Restoration of the Nymphaeum of Trajanus in Miletus between Formal Renovation and Structural Repair","casaRestorationNymphaeumTrajanus2025"
"20","U8H5QFCL","Grönwald, Holger",2024,"Bild und Ornament. Zur zeichnerischen Rekonstruktion archaischer Keramik aus Milet","gronwaldBildUndOrnament2024"
"21","2XI6U84U","Schlotzhauer, Udo",2024,"Die Vasenmalerei archaischer Zeit in Milet: Stil und Chronologie - Gefäßform und Ikonographie","schlotzhauerVasenmalereiArchaischerZeit2024"
"22","5QGVPUZR","von Graeve, Volkmar",2024,"Bemerkungen zu den Malstilen in der archaischen milesischen Vasenmalerei","vongraeveBemerkungenMalstilenArchaischen2024"
"26","XIUGRMYA","Masturzo, Nicolò",2023,"Mileto, Athena e la memoria. Considerazioni sulla città e la sua ricostruzione","masturzoMiletoAthenaMemoria2023"
"30","EEBHM8G4","Grüner, Andreas; Hennemeyer, Arndt",2001,"Winfried Held, Das Heiligtum der Athena in Milet","gruenerWinfriedHeldHeiligtum2001"
